datetime,station,nom_estacio,latitud,longitud,altitud_estacio,bateria_voltatge,gruix_neu,humitat_maxima,humitat_minima,humitat_relativa,precipitacio,precipitacio_intensitat,pressio_maxima,pressio_minima,pressio_mitjana,qualitat_dades,radiacio_desviacio,radiacio_solar,T2_obs,temperatura_maxima,temperatura_minima,vent_desviacio_est,vent_direccio,vent_direccio_ratxa,vent_direccio_vectorial,vent_ratxa_maxima,vent_velocitat,vent_velocitat_vectorial
2024-03-01 00:00:00+00:00,DP,Das - Aeròdrom,42.38605,1.8664,1097,13.8,0.0,50.0,47.0,49.0,0.0,0.0,885.5,884.9,885.1,197.0,0.0,0.0,5.6,5.8,5.4,11.6,40.0,32.0,39.0,15.5,9.2,9.0
2024-03-01 00:30:00+00:00,DP,Das - Aeròdrom,42.38605,1.8664,1097,13.7,0.0,50.0,46.0,48.0,0.0,0.0,885.8,885.0,885.3,197.0,0.0,0.0,5.5,5.7,5.3,14.9,43.0,37.0,42.0,15.3,9.4,9.1
2024-03-01 01:00:00+00:00,DP,Das - Aeròdrom,42.38605,1.8664,1097,13.7,0.0,47.0,45.0,46.0,0.0,0.0,885.7,885.2,885.5,194.0,0.0,0.0,5.6,5.8,5.5,14.5,44.0,28.0,43.0,16.5,8.8,8.5
2024-03-01 01:30:00+00:00,DP,Das - Aeròdrom,42.38605,1.8664,1097,13.8,0.0,48.0,45.0,47.0,0.0,0.0,885.8,885.2,885.4,194.0,0.0,0.0,5.5,5.8,5.3,22.8,54.0,24.0,54.0,11.5,6.0,5.6
2024-03-01 02:00:00+00:00,DP,Das - Aeròdrom,42.38605,1.8664,1097,13.7,0.0,47.0,45.0,46.0,0.0,0.0,885.6,885.1,885.3,198.0,0.0,0.0,5.4,5.5,5.2,13.6,46.0,37.0,45.0,17.1,8.5,8.2
2024-03-01 02:30:00+00:00,DP,Das - Aeròdrom,42.38605,1.8664,1097,13.7,0.0,48.0,45.0,46.0,0.0,0.0,885.6,884.7,885.0,196.0,0.0,0.0,5.1,5.4,4.8,12.1,41.0,32.0,41.0,15.9,9.4,9.2
2024-03-01 03:00:00+00:00,DP,Das - Aeròdrom,42.38605,1.8664,1097,13.7,0.0,48.0,45.0,46.0,0.0,0.0,885.4,884.7,885.0,196.0,0.0,0.0,5.0,5.2,4.8,10.7,35.0,28.0,35.0,16.9,9.7,9.6
2024-03-01 03:30:00+00:00,DP,Das - Aeròdrom,42.38605,1.8664,1097,13.8,0.0,49.0,45.0,46.0,0.0,0.0,885.1,884.7,884.9,198.0,0.0,0.0,4.8,5.1,4.3,12.1,42.0,27.0,42.0,12.8,8.2,8.1
2024-03-01 04:00:00+00:00,DP,Das - Aeròdrom,42.38605,1.8664,1097,13.7,0.0,49.0,46.0,48.0,0.0,0.0,885.2,884.9,885.0,195.0,0.0,0.0,4.4,4.6,4.1,11.7,35.0,45.0,35.0,14.0,7.8,7.7
2024-03-01 04:30:00+00:00,DP,Das - Aeròdrom,42.38605,1.8664,1097,13.7,0.0,48.0,44.0,46.0,0.0,0.0,885.3,884.8,885.1,197.0,0.0,0.0,4.4,4.8,4.2,16.3,40.0,55.0,40.0,13.6,8.4,8.1
